kumu_id,label,type,subtype,parent,contour,branch,scale,status,tags,description,source_url
org_article_ivanov2022,Статья «Неформальная структура элитного пространства России» (аналитический слой),organization,источник,,аналитический контур,аналитическая,федеральный,текущий,источник;аналитический контур;федеральный;research_overlay,Служебный аналитический источник для интеграции узлов и неформальных связей из сетевого исследования элиты России (срез 2020 года).,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
org_regional_prosecutor_corps,Корпус региональных прокуратур субъектов РФ,organization,аналитический составной узел,,аналитический контур,контрольная,федеральный,аналитический,аналитический составной узел;аналитический контур;федеральный;research_overlay,"Аналитический составной узел для корпуса региональных прокуроров в исследовании Туровского, Суховой и Функ.",file:///mnt/data/2024 Сравнительная политика Вертикаль и патронаж.pdf
org_regional_mvd_corps,"Корпус региональных управлений (главных управлений, министерств) МВД по субъектам РФ",organization,аналитический составной узел,,аналитический контур,исполнительная,федеральный,аналитический,аналитический составной узел;аналитический контур;федеральный;research_overlay,"Аналитический составной узел для корпуса региональных руководителей МВД в исследовании Туровского, Суховой и Функ.",file:///mnt/data/2024 Сравнительная политика Вертикаль и патронаж.pdf
org_article_turovsky2024,Статья «Вертикаль и патронаж: ротации силовых элит в регионах России» (аналитический слой),organization,источник,,аналитический контур,аналитическая,федеральный,текущий,источник;аналитический контур;федеральный;research_overlay,"Служебный аналитический источник для интеграции паттернов ротации силовых элит, кейсов патронажа и дополнительных персоналий из статьи 2024 года.",https://cyberleninka.ru/article/n/vertikal-i-patronazh-rotatsii-silovyh-elit-v-regionah-rossii ; file:///mnt/data/2024 Сравнительная политика Вертикаль и патронаж.pdf
pos_article_analytic_person,"Участник элитной сети в статье Иванова, Мельникова и Петрова",position,аналитическая фиксация,org_article_ivanov2022,,,,текущий,аналитический;аналитическая фиксация;research_overlay,Техническая позиция для интеграции персоналий из статьи в общую онтологию без подмены их формального статуса.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
pos_regional_prosecutor_head,Прокурор субъекта Российской Федерации,position,назначение,org_regional_prosecutor_corps,,,,аналитический,региональный;назначение;research_overlay,Служебная аналитическая позиция для корпусного слоя статьи 2024 года.,file:///mnt/data/2024 Сравнительная политика Вертикаль и патронаж.pdf
pos_regional_mvd_head,Начальник/министр внутренних дел субъекта Российской Федерации,position,назначение,org_regional_mvd_corps,,,,аналитический,региональный;назначение;research_overlay,Служебная аналитическая позиция для корпусного слоя статьи 2024 года.,file:///mnt/data/2024 Сравнительная политика Вертикаль и патронаж.pdf
pos_article_turovsky2024_person,"Участник корпуса и кейсов патронажа в статье Туровского, Суховой и Функ",position,аналитическая фиксация,org_article_turovsky2024,,,,аналитический,аналитический;аналитическая фиксация;research_overlay,Техническая позиция для интеграции персоналий и кейсов статьи 2024 года в общую онтологию.,https://cyberleninka.ru/article/n/vertikal-i-patronazh-rotatsii-silovyh-elit-v-regionah-rossii ; file:///mnt/data/2024 Сравнительная политика Вертикаль и патронаж.pdf
prs_msg_1646d804dd,Пригожин Евгений,person,смешанный,,,,,аналитический,смешанный;research_overlay,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_57d32a41ad,Кадыров Рамзан,person,смешанный,,,,,аналитический,смешанный;research_overlay,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
