kumu_id,from,to,label,type,subtype,weight_num,strength,directionality,formality,view_family,confidence,period,description,source_url,layer
contain_org_ap_rf_sub_ap_domestic,org_ap_rf,sub_ap_domestic,contains,contains,organizational,3,сильная,однонаправленная,формальная,structure,высокая,,Организация включает подразделение.,https://www.kremlin.ru/structure/administration/members,core
contain_org_ap_rf_sub_ap_state_legal,org_ap_rf,sub_ap_state_legal,contains,contains,organizational,3,сильная,однонаправленная,формальная,structure,высокая,,Организация включает подразделение.,https://www.kremlin.ru/structure/administration,core
contain_org_government_rf_sub_gov_apparatus,org_government_rf,sub_gov_apparatus,contains,contains,organizational,3,сильная,однонаправленная,формальная,structure,высокая,,Организация включает подразделение.,https://government.ru/gov/persons/,core
contain_org_united_russia_sub_er_general_council,org_united_russia,sub_er_general_council,contains,contains,organizational,3,сильная,однонаправленная,формальная,structure,высокая,,Организация включает подразделение.,https://er.ru/persons/generalnyi-sovet,core
contain_org_united_russia_sub_er_presidium,org_united_russia,sub_er_presidium,contains,contains,organizational,3,сильная,однонаправленная,формальная,structure,высокая,,Организация включает подразделение.,https://er.ru/persons/prezidium-generalnogo-soveta,core
contain_org_oprf_sub_oprf_presidium,org_oprf,sub_oprf_presidium,contains,contains,organizational,3,сильная,однонаправленная,формальная,structure,высокая,,Организация включает подразделение.,https://www.oprf.ru/news/pervoe-zasedanie-prezidiuma-soveta-obshchestvennykh-palat-rf-novyy-sostav-i-preemstvennost-traditsiy,core
contain_org_ap_rf_sub_ap_public_projects,org_ap_rf,sub_ap_public_projects,contains,contains,organizational,3,сильная,однонаправленная,формальная,structure,высокая,,Организация включает подразделение.,https://www.kremlin.ru/structure/administration/departments ; https://letters.kremlin.ru/news/47957,core
contain_org_ap_rf_sub_ap_control,org_ap_rf,sub_ap_control,contains,contains,organizational,3,сильная,однонаправленная,формальная,structure,высокая,,Организация включает подразделение.,https://www.kremlin.ru/structure/administration/departments ; https://letters.kremlin.ru/news/48087,core
contain_org_ap_rf_sub_ap_gov_service,org_ap_rf,sub_ap_gov_service,contains,contains,organizational,3,сильная,однонаправленная,формальная,structure,высокая,,Организация включает подразделение.,https://www.kremlin.ru/structure/administration/departments ; https://www.kremlin.ru/acts/news/71184,core
contain_org_ap_rf_sub_ap_state_council_support,org_ap_rf,sub_ap_state_council_support,contains,contains,organizational,3,сильная,однонаправленная,формальная,structure,высокая,,Организация включает подразделение.,https://www.kremlin.ru/structure/administration/departments ; https://www.kremlin.ru/supplement/5805,core
