kumu_id,label,type,subtype,parent,contour,branch,scale,status,tags,description,source_url,layer
org_president_rf,Институт Президента Российской Федерации,organization,госорган,,ядро координации,координационная,федеральный,текущий,госорган;ядро координации;федеральный;core,Глава государства и центральный узел координации системы.,https://kremlin.ru/structure/president ; https://www.kremlin.ru/structure/president/presidents,core
org_ap_rf,Администрация Президента Российской Федерации,organization,госорган,,ядро координации,координационная,федеральный,текущий,госорган;ядро координации;федеральный;core,Координационный и кадровый центр при Президенте.,https://www.consultant.ru/document/cons_doc_LAW_47272/9375930629345c3f977dbbf1bf3730404b9afbd2/ ; https://www.kremlin.ru/structure/administration,core
org_security_council_rf,Совет Безопасности Российской Федерации,organization,госорган,,ядро координации,координационная,федеральный,текущий,госорган;ядро координации;федеральный;core,Конституционный совещательный орган при Президенте.,https://kremlin.ru/structure/security-council ; https://kremlin.ru/structure/security-council/members,core
org_state_council_rf,Государственный Совет Российской Федерации,organization,госорган,,ядро координации,координационная,федеральный,текущий,госорган;ядро координации;федеральный;core,Площадка стратегической координации и согласования при Президенте.,https://kremlin.ru/structure/state-council ; https://www.kremlin.ru/structure/state-council/members,core
org_government_rf,Правительство Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Высший орган исполнительной власти РФ.,https://www.consultant.ru/document/cons_doc_LAW_28399/ ; https://www.consultant.ru/document/cons_doc_LAW_366950/,core
org_state_duma,Государственная Дума Федерального Собрания Российской Федерации,organization,госорган,,воспроизводство и легитимация,законодательная,федеральный,текущий,госорган;воспроизводство и легитимация;федеральный;core,Нижняя палата парламента РФ.,https://duma.gov.ru/,core
org_federation_council,Совет Федерации Федерального Собрания Российской Федерации,organization,госорган,,воспроизводство и легитимация,законодательная,федеральный,текущий,госорган;воспроизводство и легитимация;федеральный;core,Верхняя палата парламента РФ.,https://council.gov.ru/,core
org_cik_rf,Центральная избирательная комиссия Российской Федерации,organization,госорган,,воспроизводство и легитимация,контрольная,федеральный,текущий,госорган;воспроизводство и легитимация;федеральный;core,"Федеральный государственный орган, организующий выборы и референдумы.",https://www.cikrf.ru/about/structure/,core
org_constitutional_court_rf,Конституционный Суд Российской Федерации,organization,госорган,,воспроизводство и легитимация,судебная,федеральный,текущий,госорган;воспроизводство и легитимация;федеральный;core,Высший орган конституционного контроля.,https://www.ksrf.ru/ ; https://www.ksrf.ru/about/judges/,core
org_supreme_court_rf,Верховный Суд Российской Федерации,organization,госорган,,воспроизводство и легитимация,судебная,федеральный,текущий,госорган;воспроизводство и легитимация;федеральный;core,"Высший судебный орган по гражданским, уголовным и административным делам.",https://www.supcourt.ru/,core
org_prosecutor_general_rf,Генеральная прокуратура Российской Федерации,organization,госорган,,исполнение и принуждение,контрольная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Единая федеральная централизованная система прокурорского надзора.,https://www.consultant.ru/document/cons_doc_LAW_28399/4d1cc1d6d6bb3f1a3fbb035def596b8fd5243246/ ; https://www.consultant.ru/document/cons_doc_LAW_262/,core
org_sk_rf,Следственный комитет Российской Федерации,organization,госорган,,исполнение и принуждение,контрольная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральный государственный орган предварительного следствия.,https://www.consultant.ru/document/cons_doc_LAW_108565/ ; https://sledcom.ru/sk_russia/leaders,core
org_fsb_rf,Федеральная служба безопасности Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Спецслужба и орган обеспечения безопасности.,https://www.consultant.ru/document/cons_doc_LAW_6300/ ; https://www.fsb.ru/fsb/leadership.htm,core
org_mvd_rf,Министерство внутренних дел Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство внутренних дел.,https://government.ru/department/86/ ; https://government.ru/gov/persons/199/,core
org_mod_rf,Министерство обороны Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство обороны.,https://mil.ru/ ; https://kremlin.ru/catalog/persons/330/biography,core
org_gazprom,ПАО «Газпром»,organization,госкомпания,,встроенные внешние акторы,корпоративно-экономическая,федеральный,текущий,госкомпания;встроенные внешние акторы;федеральный;core,Крупнейшая газовая компания с высоким уровнем связности с государством.,https://www.gazprom.ru/ ; https://www.gazprom.ru/about/management/board/,core
org_sber,ПАО Сбербанк,organization,госкомпания,,встроенные внешние акторы,корпоративно-экономическая,федеральный,текущий,госкомпания;встроенные внешние акторы;федеральный;core,Крупнейший банк и экосистема с системной связью с государством.,https://www.sberbank.com/ru/about ; https://www.sberbank.com/ru/investor-relations/groupresults/groupresults_paosber_2month_for_investors,core
org_united_russia,Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»,organization,партия,,воспроизводство и легитимация,партийно-электоральная,федеральный,текущий,партия;воспроизводство и легитимация;федеральный;core,Ключевая парламентская партия.,https://er.ru/ ; https://er.ru/persons/predsedatel-partii,core
org_oprf,Общественная палата Российской Федерации,organization,экспертная структура,,воспроизводство и легитимация,общественно-публичная,федеральный,текущий,экспертная структура;воспроизводство и легитимация;федеральный;core,"Площадка общественного участия и наблюдения, встроенная в систему публичной политики.",https://www.oprf.ru/ ; https://www.oprf.ru/news/pervoe-zasedanie-prezidiuma-soveta-obshchestvennykh-palat-rf-novyy-sostav-i-preemstvennost-traditsiy,core
org_rosgvardiya,Федеральная служба войск национальной гвардии Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральный орган исполнительной власти в сфере войск национальной гвардии и оборота оружия.,https://rosguard.gov.ru/ ; https://government.ru/department/337/,core
org_minfin,Министерство финансов Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство финансовой политики и бюджетного регулирования.,https://government.ru/department/69/,core
org_mfa,Министерство иностранных дел Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство внешней политики и международных отношений.,https://government.ru/department/92/,core
org_minjust,Министерство юстиции Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство юстиции и нормативно-правового обеспечения.,https://government.ru/department/99/,core
org_minec,Министерство экономического развития Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство экономической политики и стратегического планирования.,https://government.ru/department/79/,core
org_mincifry,"Министерство цифрового развития, связи и массовых коммуникаций Российской Федерации",organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,"Федеральное министерство цифровой политики, связи и массовых коммуникаций.",https://government.ru/department/387/,core
org_minenergy,Министерство энергетики Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство энергетической политики.,https://government.ru/department/85/,core
org_minpromtorg,Министерство промышленности и торговли Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство промышленной и торговой политики.,https://government.ru/department/54/,core
org_minzdrav,Министерство здравоохранения Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство государственной политики в сфере здравоохранения.,https://government.ru/department/23/,core
org_mintrud,Министерство труда и социальной защиты Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство социальной и трудовой политики.,https://government.ru/department/237/,core
org_minselkhoz,Министерство сельского хозяйства Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство аграрной политики.,https://government.ru/department/59/ ; https://government.ru/department/59/,core
org_minprirody,Министерство природных ресурсов и экологии Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство природоресурсной и экологической политики.,https://government.ru/department/48/,core
org_mintrans,Министерство транспорта Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство транспортной политики и инфраструктуры.,https://government.ru/department/68/,core
org_minstroy,Министерство строительства и жилищно-коммунального хозяйства Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство строительства и ЖКХ.,https://government.ru/department/291/,core
org_minpros,Министерство просвещения Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство школьного и среднего профобразования.,https://government.ru/department/390/,core
org_minobrnauki,Министерство науки и высшего образования Российской Федерации,organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,Федеральное министерство науки и высшего образования.,https://government.ru/department/388/,core
org_rostec,Государственная корпорация «Ростех»,organization,госкорпорация,,встроенные внешние акторы,корпоративно-экономическая,федеральный,текущий,госкорпорация;встроенные внешние акторы;федеральный;core,Госкорпорация технологического и оборонно-промышленного профиля.,https://rostec.ru/about/,core
org_rosneft,ПАО «НК «Роснефть»,organization,госкомпания,,встроенные внешние акторы,корпоративно-экономическая,федеральный,текущий,госкомпания;встроенные внешние акторы;федеральный;core,Крупная нефтяная компания с государственным участием.,https://www.rosneft.ru/,core
org_cbr,Центральный банк Российской Федерации (Банк России),organization,центральный банк,,исполнение и принуждение,контрольная,федеральный,текущий,центральный банк;исполнение и принуждение;федеральный;core,Конституционно особый публичный институт денежно-кредитного регулирования и мегарегулятор финансового рынка.,https://www.consultant.ru/document/cons_doc_LAW_37570/ ; https://www.cbr.ru/about_br/,core
org_svr_rf,Служба внешней разведки Российской Федерации,organization,спецслужба,,исполнение и принуждение,исполнительная,федеральный,текущий,спецслужба;исполнение и принуждение;федеральный;core,Федеральная служба внешней разведки и стратегической внешнеполитической информации.,https://svr.gov.ru/,core
org_mchs_rf,"Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",organization,госорган,,исполнение и принуждение,исполнительная,федеральный,текущий,госорган;исполнение и принуждение;федеральный;core,"Федеральное министерство чрезвычайного реагирования, гражданской обороны и ликвидации последствий ЧС.",https://government.ru/department/91/,core
org_minkult,Министерство культуры Российской Федерации,organization,госорган,,воспроизводство и легитимация,исполнительная,федеральный,текущий,госорган;воспроизводство и легитимация;федеральный;core,Федеральное министерство культурной политики и управления культурным наследием.,https://government.ru/department/27/,core
org_minsport,Министерство спорта Российской Федерации,organization,госорган,,воспроизводство и легитимация,исполнительная,федеральный,текущий,госорган;воспроизводство и легитимация;федеральный;core,Федеральное министерство государственной политики в сфере спорта и массовой физической культуры.,https://government.ru/department/60/,core
