kumu_id,from,to,label,type,subtype,weight_num,strength,directionality,formality,view_family,confidence,period,description,source_url
contain_org_article_ivanov2022_pos_article_analytic_person,org_article_ivanov2022,pos_article_analytic_person,contains,contains,position_container,3,сильная,однонаправленная,формальная,structure,высокая,,Организация/подразделение содержит должность.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
contain_org_regional_prosecutor_corps_pos_regional_prosecutor_head,org_regional_prosecutor_corps,pos_regional_prosecutor_head,contains,contains,position_container,3,сильная,однонаправленная,формальная,structure,высокая,,Организация/подразделение содержит должность.,file:///mnt/data/2024 Сравнительная политика Вертикаль и патронаж.pdf
contain_org_regional_mvd_corps_pos_regional_mvd_head,org_regional_mvd_corps,pos_regional_mvd_head,contains,contains,position_container,3,сильная,однонаправленная,формальная,structure,высокая,,Организация/подразделение содержит должность.,file:///mnt/data/2024 Сравнительная политика Вертикаль и патронаж.pdf
contain_org_article_turovsky2024_pos_article_turovsky2024_person,org_article_turovsky2024,pos_article_turovsky2024_person,contains,contains,position_container,3,сильная,однонаправленная,формальная,structure,высокая,,Организация/подразделение содержит должность.,https://cyberleninka.ru/article/n/vertikal-i-patronazh-rotatsii-silovyh-elit-v-regionah-rossii ; file:///mnt/data/2024 Сравнительная политика Вертикаль и патронаж.pdf
aff_aff_prs_kozak_pos_article_analytic_person,prs_kozak,pos_article_analytic_person,занимает должность,занимает_должность,аналитическая,2,средняя,однонаправленная,формальная,affiliation,средняя,2020-03-01-2020-04-30,Служебная аффилиация для интеграции узла статьи в модель как аналитического источника.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
aff_aff_prs_ditrikh_pos_article_analytic_person,prs_ditrikh,pos_article_analytic_person,занимает должность,занимает_должность,аналитическая,2,средняя,однонаправленная,формальная,affiliation,средняя,2020-03-01-2020-04-30,Служебная аффилиация для интеграции узла статьи в модель как аналитического источника.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
aff_aff_prs_artemyev_pos_article_analytic_person,prs_artemyev,pos_article_analytic_person,занимает должность,занимает_должность,аналитическая,2,средняя,однонаправленная,формальная,affiliation,средняя,2020-03-01-2020-04-30,Служебная аффилиация для интеграции узла статьи в модель как аналитического источника.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
aff_aff_prs_rotenberg_arkady_pos_article_analytic_person,prs_rotenberg_arkady,pos_article_analytic_person,занимает должность,занимает_должность,аналитическая,2,средняя,однонаправленная,формальная,affiliation,средняя,2020-03-01-2020-04-30,Служебная аффилиация для интеграции узла статьи в модель как аналитического источника.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
aff_aff_prs_ernst_pos_article_analytic_person,prs_ernst,pos_article_analytic_person,занимает должность,занимает_должность,аналитическая,2,средняя,однонаправленная,формальная,affiliation,средняя,2020-03-01-2020-04-30,Служебная аффилиация для интеграции узла статьи в модель как аналитического источника.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
aff_aff_prs_usmanov_pos_article_analytic_person,prs_usmanov,pos_article_analytic_person,занимает должность,занимает_должность,аналитическая,2,средняя,однонаправленная,формальная,affiliation,средняя,2020-03-01-2020-04-30,Служебная аффилиация для интеграции узла статьи в модель как аналитического источника.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
aff_aff_prs_kudrin_pos_article_analytic_person,prs_kudrin,pos_article_analytic_person,занимает должность,занимает_должность,аналитическая,2,средняя,однонаправленная,формальная,affiliation,средняя,2020-03-01-2020-04-30,Служебная аффилиация для интеграции узла статьи в модель как аналитического источника.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
aff_aff_prs_borisov_yuriy_pos_article_analytic_person,prs_borisov_yuriy,pos_article_analytic_person,занимает должность,занимает_должность,аналитическая,2,средняя,однонаправленная,формальная,affiliation,средняя,2020-03-01-2020-04-30,Служебная аффилиация для интеграции узла статьи в модель как аналитического источника.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
aff_aff_prs_gerasimov_pos_article_analytic_person,prs_gerasimov,pos_article_analytic_person,занимает должность,занимает_должность,аналитическая,2,средняя,однонаправленная,формальная,affiliation,средняя,2020-03-01-2020-04-30,Служебная аффилиация для интеграции узла статьи в модель как аналитического источника.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
aff_aff_prs_deripaska_pos_article_analytic_person,prs_deripaska,pos_article_analytic_person,занимает должность,занимает_должность,аналитическая,2,средняя,однонаправленная,формальная,affiliation,средняя,2020-03-01-2020-04-30,Служебная аффилиация для интеграции узла статьи в модель как аналитического источника.,https://politeia.ru/files/articles/rus/Politeia-2022-1(104)-72-91.pdf ; file:///mnt/data/neformalnaya-struktura-elitnogo-prostranstva-rossii-opyt-setevogo-analiza.pdf
