kumu_id,from,to,label,type,subtype,weight_num,strength,directionality,formality,view_family,confidence,period,description,source_url
mention_prs_alikhanov,org_msg_time_putina,prs_alikhanov,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,2,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 2. Пример: Июнь. Неожиданные странности. 1. Несмотря на внешне триумфальное завершение президентской избирательной кампании и в целом весьма скучное переназначение кабинета министров и силовых министров, российская политическая система продолжает вязнуть в криз",messages.html
mention_prs_bastrykin,org_msg_time_putina,prs_bastrykin,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,9,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 9. Пример: Октябрь Путина. Постпригожинский этап. 2 . На встрече с Валдайским клубом, Путин не стал озвучивать версию гибели Пригожина, хотя знает значительно больше,чем говорит. Озвученая Путиным версия гибели Пригожина является  версией Александра Бастрыкина,",messages.html
mention_prs_belousov,org_msg_time_putina,prs_belousov,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,сильная,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 21. Пример: Октябрь Путина. Конфигурация. Вокруг Путина активно складывается новая конфигурация власти. По многочисленным слухам, с августа Путин активно изучает многочисленные досье, проводит десятки встреч, едет в регионы и встречается с главами регионов, чино",messages.html
mention_prs_bortnikov,org_msg_time_putina,prs_bortnikov,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 15. Пример: Август Путина. 1.1. Элиты к 2021 году, сразу после коронавируса, отчетливо поняли всю бесперспективность будущего путинского политического режима. У путинской системы больше не оказалось варианта будущего. И это ввело всю элиту буквально в ступор. Пу",messages.html
mention_prs_chemezov,org_msg_time_putina,prs_chemezov,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,сильная,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 21. Пример: Сентябрь Путина. Проверка выборами. 4 . Традиционная системная оппозиция продолжает растрачивать свою и так слабую репутацию и административный вес. Геннадий Зюганов напрямую работает с главой АП Вайно,Громовым,Яриным, Чемезовым,Совбезом Патрушева и ",messages.html
mention_prs_dyumin,org_msg_time_putina,prs_dyumin,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 11. Пример: Октябрь Путина. Конфигурация. Вокруг Путина активно складывается новая конфигурация власти. По многочисленным слухам, с августа Путин активно изучает многочисленные досье, проводит десятки встреч, едет в регионы и встречается с главами регионов, чино",messages.html
mention_prs_falkov,org_msg_time_putina,prs_falkov,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,1,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 1. Пример: Сентябрь Путина . Немобилизация . 3. Высшие должностные лица субъектов федерации должны уделять необходимое внимание реализации мер, призванных обеспечить безопасность людей, охрану и антитеррористическую защищенность критически важных объектов, подд",messages.html
mention_prs_gutsan,org_msg_time_putina,prs_gutsan,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,2,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 2. Пример: Август 2025.Силовой блок ждет рокировка. 1 . Многочисленные слухи обещают череду кадровых перестановок, однако пока ни один источник не может подтвердить их с достоверностью. Так, газета «Ведомости», работающая под Сечиным и УВП, анонсировала переход",messages.html
mention_prs_khusnullin,org_msg_time_putina,prs_khusnullin,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,5,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 5. Пример: Сентябрь Путина . Немобилизация . 3. Высшие должностные лица субъектов федерации должны уделять необходимое внимание реализации мер, призванных обеспечить безопасность людей, охрану и антитеррористическую защищенность критически важных объектов, подд",messages.html
mention_prs_kiriyenko,org_msg_time_putina,prs_kiriyenko,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,сильная,однонаправленная,полуформальная,mentions,средняя,2023,Количество упоминаний: 53. Пример: Август Путина. 1. В современной политической истории России август занимает особое мифологическое место. Август- это точка преломления.  С августа начинается новая история. Август всегда перерастает в Октябрь. Август 2023 года навсегда связан с имене,messages.html
mention_prs_kovalchuk_boris,org_msg_time_putina,prs_kovalchuk_boris,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,5,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 5. Пример: Май. Варианты невозможного. 2. Такая принципиальная позиция Путина объясняется чистой прагматикой. Зная как функционирует конструкция власти в России, Путин осознает, что ему придется в ежедневном режиме заниматься проблемами своих семейных выдвиженц",messages.html
mention_prs_krasnov_igor,org_msg_time_putina,prs_krasnov_igor,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 11. Пример: Август Путина. 1.1. Элиты к 2021 году, сразу после коронавируса, отчетливо поняли всю бесперспективность будущего путинского политического режима. У путинской системы больше не оказалось варианта будущего. И это ввело всю элиту буквально в ступор. Пу",messages.html
mention_prs_kurenkov,org_msg_time_putina,prs_kurenkov,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,5,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 5. Пример: Профайл Время Путина. Александр Куренков . 1 Александр Вячеславович Куренков – российский государственный деятель, с мая 2022 года занимающий пост министра по чрезвычайным ситуациям (МЧС России) и входящий в Совет Безопасности РФ. В прошлом он служил",messages.html
mention_prs_manturov,org_msg_time_putina,prs_manturov,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 12. Пример: Сентябрь Путина . Немобилизация . 3. Высшие должностные лица субъектов федерации должны уделять необходимое внимание реализации мер, призванных обеспечить безопасность людей, охрану и антитеррористическую защищенность критически важных объектов, подд",messages.html
mention_prs_matvienko,org_msg_time_putina,prs_matvienko,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,8,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 8. Пример: Сентябрь Путина. Проверка выборами. 2 . Второй важный момент сентябрьской избирательной кампании- провал КПРФ. Не секрет, что Кириенко и его блок играет против Зюганова, видя в нем неизменяемый балласт прошлого. Кириенко давно поставил точку на Зюган",messages.html
mention_prs_medvedev,org_msg_time_putina,prs_medvedev,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,сильная,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 27. Пример: Сентябрь Путина . Немобилизация . Прошел год с момента объявления в России частичной мобилизации. Военная мобилизация проводилась впервые после 1941 года, и по оценкам многочисленных экспертов, оказала системные негативные последствия для политическо",messages.html
mention_prs_mishustin,org_msg_time_putina,prs_mishustin,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,сильная,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 27. Пример: Сентябрь Путина . Немобилизация . 3. Высшие должностные лица субъектов федерации должны уделять необходимое внимание реализации мер, призванных обеспечить безопасность людей, охрану и антитеррористическую защищенность критически важных объектов, подд",messages.html
mention_prs_msg_01c80b7ee2,org_msg_time_putina,prs_msg_01c80b7ee2,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,3,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 3. Пример: Август Путина. 3.1. Вся биография Путина позволяет утверждать, что он слишком легко расстается с друзьями и союзниками, когда того требует ситуация. Сильная сторона Путина в его рацио,он уступает сильной стороне и легко забывает о своих друзьях, объя",messages.html
mention_prs_msg_03457b8fda,org_msg_time_putina,prs_msg_03457b8fda,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,сильная,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 21. Пример: Сентябрь Путина . Немобилизация . 3. Высшие должностные лица субъектов федерации должны уделять необходимое внимание реализации мер, призванных обеспечить безопасность людей, охрану и антитеррористическую защищенность критически важных объектов, подд",messages.html
mention_prs_msg_0345dba93f,org_msg_time_putina,prs_msg_0345dba93f,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,2,средняя,однонаправленная,полуформальная,mentions,средняя,2023,Количество упоминаний: 2. Пример: Октябрь Путина. Недооппозиция режима. 2 . Политическую субъектность могли бы представлять Ходорковский или ФБК. Но каждый имеет огромный антирейтинг и не транспарентную историю. Структура Навального ФБК  финансируется через  гранты немецких федеральн,messages.html
mention_prs_msg_06479db4a0,org_msg_time_putina,prs_msg_06479db4a0,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,4,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 4. Пример: Октябрь Путина. Недооппозиция режима.  1. Российская политическая оппозиция за рубежом всего лишь мистификация режима Путина. Откажись Кремль от публичного преследования «русской оппозиции» в виде статуса иноагента и уголовных дел за дискредитацию, с",messages.html
mention_prs_msg_07e84a0c26,org_msg_time_putina,prs_msg_07e84a0c26,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,2,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 2. Пример: Сентябрь Путина. Проверка выборами. 4 . Традиционная системная оппозиция продолжает растрачивать свою и так слабую репутацию и административный вес. Геннадий Зюганов напрямую работает с главой АП Вайно,Громовым,Яриным, Чемезовым,Совбезом Патрушева и ",messages.html
mention_prs_msg_0b6014e269,org_msg_time_putina,prs_msg_0b6014e269,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,средняя,однонаправленная,полуформальная,mentions,средняя,2023,Количество упоминаний: 10. Пример: Август Путина. 4. Ожидания. Вброс об «африканском воскресении Пригожина» может выглядеть как троллинг. Но его значение не стоит упускать из внимания. Фактически можно утверждать- пригожинский мятеж продолжается; Антисистема не собирается сдаваться; о,messages.html
mention_prs_msg_0cdf655989,org_msg_time_putina,prs_msg_0cdf655989,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,1,средняя,однонаправленная,полуформальная,mentions,средняя,2023,Количество упоминаний: 1. Пример: Октябрь Путина. Недооппозиция режима. 2 . Политическую субъектность могли бы представлять Ходорковский или ФБК. Но каждый имеет огромный антирейтинг и не транспарентную историю. Структура Навального ФБК  финансируется через  гранты немецких федеральн,messages.html
mention_prs_msg_0ea65ea0ff,org_msg_time_putina,prs_msg_0ea65ea0ff,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,1,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 1. Пример: Август Путина. 3.1. Вся биография Путина позволяет утверждать, что он слишком легко расстается с друзьями и союзниками, когда того требует ситуация. Сильная сторона Путина в его рацио,он уступает сильной стороне и легко забывает о своих друзьях, объя",messages.html
mention_prs_msg_0ec92e4189,org_msg_time_putina,prs_msg_0ec92e4189,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,1,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 1. Пример: Сентябрь Путина. Проверка выборами. 4 . Традиционная системная оппозиция продолжает растрачивать свою и так слабую репутацию и административный вес. Геннадий Зюганов напрямую работает с главой АП Вайно,Громовым,Яриным, Чемезовым,Совбезом Патрушева и ",messages.html
mention_prs_msg_12ca299999,org_msg_time_putina,prs_msg_12ca299999,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,1,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 1. Пример: Октябрь Путина. Мобилизационное. Путин безусловно мастер выстраивания баланса, даже казалось бы в самом неблагоприятном сценарии. После гибели/убийства Пригожина,которого считали личной креатурой Путина и гаранта владельца ЧВК Вагнер,Минобороны и ФСБ",messages.html
mention_prs_msg_1646d804dd,org_msg_time_putina,prs_msg_1646d804dd,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 15. Пример: Август Путина. 1.1. Элиты к 2021 году, сразу после коронавируса, отчетливо поняли всю бесперспективность будущего путинского политического режима. У путинской системы больше не оказалось варианта будущего. И это ввело всю элиту буквально в ступор. Пу",messages.html
mention_prs_msg_2b69bd675e,org_msg_time_putina,prs_msg_2b69bd675e,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,2,средняя,однонаправленная,полуформальная,mentions,средняя,2023,Количество упоминаний: 2. Пример: ТОП заметных событий российской политики в марте 1.  Теракт в концертном зале «Крокус Сити Холл» в подмосковном Красногорске 2.  Выборы президента РФ 3.  Похороны Алексея Навального 4.  Дискуссии по вопросу о снятии моратория на смертную казнь и изме,messages.html
mention_prs_msg_2cae3e743b,org_msg_time_putina,prs_msg_2cae3e743b,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,5,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 5. Пример: Сентябрь Путина. Проверка выборами. 4 . Традиционная системная оппозиция продолжает растрачивать свою и так слабую репутацию и административный вес. Геннадий Зюганов напрямую работает с главой АП Вайно,Громовым,Яриным, Чемезовым,Совбезом Патрушева и ",messages.html
mention_prs_msg_2eb4928381,org_msg_time_putina,prs_msg_2eb4928381,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,2,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 2. Пример: Октябрь Путина. Мобилизационное. Путин безусловно мастер выстраивания баланса, даже казалось бы в самом неблагоприятном сценарии. После гибели/убийства Пригожина,которого считали личной креатурой Путина и гаранта владельца ЧВК Вагнер,Минобороны и ФСБ",messages.html
mention_prs_msg_31fdc9a8ff,org_msg_time_putina,prs_msg_31fdc9a8ff,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,1,средняя,однонаправленная,полуформальная,mentions,средняя,2023,Количество упоминаний: 1. Пример: Октябрь Путина. Недооппозиция режима. 2 . Политическую субъектность могли бы представлять Ходорковский или ФБК. Но каждый имеет огромный антирейтинг и не транспарентную историю. Структура Навального ФБК  финансируется через  гранты немецких федеральн,messages.html
mention_prs_msg_33b6aba646,org_msg_time_putina,prs_msg_33b6aba646,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,3,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 3. Пример: Октябрь Путина.  Человек из команды Шойгу. Когда спрашивают- а кто мог бы пойти от команды Шойгу в президенты, всегда следует молчание- и людей много, и нет никого. Но неожиданное назначение вице-премьера Подмосковья Георгия Филимонова губернатором В",messages.html
mention_prs_msg_3699e5f379,org_msg_time_putina,prs_msg_3699e5f379,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,2,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 2. Пример: Профайл Время Путина. Александр Куренков . 3 Накануне назначения в МЧС Александр Куренков успел проявить себя и в контексте участия в боевых действиях на Украине.  Хотя подробности его участия не разглашались, сам факт командировки на театр боевых де",messages.html
mention_prs_msg_36adb2bdca,org_msg_time_putina,prs_msg_36adb2bdca,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,6,средняя,однонаправленная,полуформальная,mentions,средняя,2023,Количество упоминаний: 6. Пример: ТОП заметных событий российской политики в мае 1.  Утверждение нового состава правительства после инаугурации Владимира Путина 2.  Назначение Сергея Шойгу вместо Николая Патрушева на пост секретаря Совета безопасности России 3.  Назначение Андрея Бел,messages.html
mention_prs_msg_3815327e14,org_msg_time_putina,prs_msg_3815327e14,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,1,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 1. Пример: Август Путина. 3.1. Вся биография Путина позволяет утверждать, что он слишком легко расстается с друзьями и союзниками, когда того требует ситуация. Сильная сторона Путина в его рацио,он уступает сильной стороне и легко забывает о своих друзьях, объя",messages.html
mention_prs_msg_3a8d01a244,org_msg_time_putina,prs_msg_3a8d01a244,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,1,средняя,однонаправленная,полуформальная,mentions,средняя,2023,Количество упоминаний: 1. Пример: Октябрь Путина. Недооппозиция режима. 2 . Политическую субъектность могли бы представлять Ходорковский или ФБК. Но каждый имеет огромный антирейтинг и не транспарентную историю. Структура Навального ФБК  финансируется через  гранты немецких федеральн,messages.html
mention_prs_msg_3d282ad417,org_msg_time_putina,prs_msg_3d282ad417,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,9,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 9. Пример: Май. Варианты невозможного. 1 . История с формированием правительства обрастает множеством слухов и фрагментов. Еще в прошлом году, политический класс активно обсуждал варианты серьезного перехвата власти на фоне подавления пригожинского мятежа. Воен",messages.html
mention_prs_msg_41928ac17c,org_msg_time_putina,prs_msg_41928ac17c,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,2,средняя,однонаправленная,полуформальная,mentions,средняя,2023,Количество упоминаний: 2. Пример: Сентябрь Путина . Немобилизация . 2. Мобилизационная миграция моментально привела к резкому дефициту кадров. Первоначальные идеи кремлевских чиновников начать «массовую кампания осуждения уехавших» были быстро свернуты. Конфликт ненависти мог реально,messages.html
mention_prs_msg_43a5eabc73,org_msg_time_putina,prs_msg_43a5eabc73,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,10,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 11. Пример: Сентябрь Путина . Немобилизация . Прошел год с момента объявления в России частичной мобилизации. Военная мобилизация проводилась впервые после 1941 года, и по оценкам многочисленных экспертов, оказала системные негативные последствия для политическо",messages.html
mention_prs_msg_4408018f00,org_msg_time_putina,prs_msg_4408018f00,упоминание в сообщениях,упоминание_источником,агрегированное упоминание,2,средняя,однонаправленная,полуформальная,mentions,средняя,2023,"Количество упоминаний: 2. Пример: Август Путина. 3.1. Вся биография Путина позволяет утверждать, что он слишком легко расстается с друзьями и союзниками, когда того требует ситуация. Сильная сторона Путина в его рацио,он уступает сильной стороне и легко забывает о своих друзьях, объя",messages.html
