kumu_id,label,type,subtype,parent,contour,branch,scale,status,tags,description,source_url
org_msg_time_putina,Сообщения канала «ВРЕМЯ ПУТИНА» (аналитический слой источника),source,источник сообщений,,,,,текущий,соупоминания;источник,"Источник аналитических сообщений, из которого извлечены дополнительные персоналии и связи.",file:///mnt/data/messages.html
prs_putin,Владимир Путин,person,силовой,,,,,текущий,соупоминания;силовой,"Первичная позиция верховной координации; дополнительные экс-оффицио роли фиксируются через институциональные связи, а не через множественные current_position_id.",https://www.kremlin.ru/catalog/persons/54/biography ; https://www.kremlin.ru/structure/president/presidents
prs_vaino,Антон Вайно,person,аппаратный,,,,,текущий,соупоминания;аппаратный,Ключевой координатор президентской администрации и кадрово-документарного контура.,https://www.kremlin.ru/catalog/persons/307/biography ; https://www.kremlin.ru/structure/administration/members
prs_kiriyenko,Сергей Кириенко,person,аппаратный,,,,,текущий,соупоминания;аппаратный,Один из центральных операторов внутриполитического контура и электорально-управленческой координации.,https://www.kremlin.ru/catalog/persons/175/biography ; https://www.kremlin.ru/structure/administration/members
prs_shoigu,Сергей Шойгу,person,силовой,,,,,текущий,соупоминания;силовой,Неформальные атрибуты заданы как стартовая аналитическая оценка.,https://kremlin.ru/supplement/6438 ; https://www.kremlin.ru/events/security-council/79364
prs_mishustin,Михаил Мишустин,person,экспертный,,,,,текущий,соупоминания;экспертный,Центральная фигура правительственного контура и межведомственной координации.,https://government.ru/gov/persons/151/
prs_volodin,Вячеслав Володин,person,политический,,,,,текущий,соупоминания;политический,Неформальные атрибуты заданы как стартовая аналитическая оценка.,https://duma.gov.ru/duma/chairman/
prs_matvienko,Валентина Матвиенко,person,политический,,,,,текущий,соупоминания;политический,Неформальные атрибуты заданы как стартовая аналитическая оценка.,https://www.council.gov.ru/structure/persons/257/
prs_gutsan,Александр Гуцан,person,силовой,,,,,текущий,соупоминания;силовой,Неформальные атрибуты заданы как стартовая аналитическая оценка.,https://epp.genproc.gov.ru/ru/gprf/about-the-proc/management/gutsan-aleksandr-vladimirovich-e5946283/
prs_bastrykin,Александр Бастрыкин,person,силовой,,,,,текущий,соупоминания;силовой,Неформальные атрибуты заданы как стартовая аналитическая оценка.,https://sledcom.ru/sk_russia/leaders/item/686/
prs_bortnikov,Александр Бортников,person,силовой,,,,,текущий,соупоминания;силовой,Неформальные атрибуты заданы как стартовая аналитическая оценка.,https://www.fsb.ru/fsb/leadership.htm ; https://www.fsb.ru/fsb/history/leaders/single.htm%21id%3D10434670%40fsbBiography.html
prs_belousov,Андрей Белоусов,person,экспертный,,,,,текущий,соупоминания;экспертный,Неформальные атрибуты заданы как стартовая аналитическая оценка.,https://kremlin.ru/catalog/persons/330/biography
prs_medvedev,Дмитрий Медведев,person,политический,,,,,текущий,соупоминания;политический,"В seed привязан к партии, хотя имеет и другие институциональные роли.",https://er.ru/persons/predsedatel-partii ; https://kremlin.ru/events/president/news/79364
prs_manturov,Денис Мантуров,person,аппаратный,,,,,текущий,соупоминания;аппаратный,Сетевые поля заполнены только на уровне институционального контура.,https://government.ru/gov/persons/175/
prs_novak,Александр Новак,person,экспертный,,,,,текущий,соупоминания;экспертный,,https://government.ru/gov/persons/187/
prs_khusnullin,Марат Хуснуллин,person,аппаратный,,,,,текущий,соупоминания;аппаратный,,https://government.ru/gov/persons/620/
prs_patrushev_dmitry,Дмитрий Патрушев,person,аппаратный,,,,,текущий,соупоминания;аппаратный,,https://government.ru/gov/persons/544/
prs_zolotov,Виктор Золотов,person,силовой,,,,,текущий,соупоминания;силовой,,https://rosguard.gov.ru/page/index/leadership ; https://rosguard.gov.ru/News/Article/general-armii-viktor-zolotov-ukazom-prezidenta-rossijskoj-federacii-naznachen-direktorom-rosgvardii
prs_shadaev,Максут Шадаев,person,экспертный,,,,,текущий,соупоминания;экспертный,,https://government.ru/gov/persons/627/
prs_tsivilev,Сергей Цивилев,person,аппаратный,,,,,текущий,соупоминания;аппаратный,,https://government.ru/gov/persons/545/
prs_alikhanov,Антон Алиханов,person,аппаратный,,,,,текущий,соупоминания;аппаратный,,https://government.ru/gov/persons/503/
prs_falkov,Валерий Фальков,person,экспертный,,,,,текущий,соупоминания;экспертный,,https://government.ru/gov/persons/624/
prs_chemezov,Сергей Чемезов,person,финансовый,,,,,текущий,соупоминания;финансовый,Официальные сведения ограничены формальной ролью главы корпорации.,https://rostec.ru/about/ ; https://rostec.ru/media/news/rostekh-zapuskaet-tsikl-strategicheskikh-sessiy-na-temu-kooperatsii-nauki-i-biznesa/
prs_sechin,Игорь Сечин,person,финансовый,,,,,текущий,соупоминания;финансовый,Официальные сведения ограничены формальной ролью главы компании.,https://www.rosneft.ru/Investors/ESG/Publichnie_pozicii/Rosneft_prioritet_bezopasnost/ ; https://www.rosneft.ru/press/news/item/223185
prs_naryshkin,Сергей Нарышкин,person,силовой,,,,,текущий,соупоминания;силовой,"Фигура на стыке спецслужб, внешней политики и историко-идеологического дискурса.",https://svr.gov.ru/
prs_kurenkov,Александр Куренков,person,силовой,,,,,текущий,соупоминания;силовой,Министр МЧС; ведомство входит в отдельный контур президентского руководства деятельностью.,https://government.ru/department/91/
prs_kovalchuk_boris,Ковальчук Борис Юрьевич,person,политический,,,,,текущий,соупоминания;политический,Добавлен по итогам аудита как важная фигура контрольного контура федерального уровня.,https://duma.gov.ru/news/63229/ ; https://ach.gov.ru/about/structure/chairman/
prs_oreshkin,Максим Орешкин,person,аппаратный,,,,,текущий,соупоминания;аппаратный,Действующий заместитель Руководителя Администрации Президента.,https://kremlin.ru/catalog/persons/495/biography ; https://www.kremlin.ru/structure/administration/members
prs_peskov,Дмитрий Песков,person,медийный,,,,,текущий,соупоминания;медийный,Действующий заместитель Руководителя АП и пресс-секретарь Президента.,https://kremlin.ru/supplement/6466 ; https://www.kremlin.ru/structure/administration/members
prs_dyumin,Алексей Дюмин,person,силовой,,,,,текущий,соупоминания;силовой,Помощник Президента и Секретарь Госсовета.,https://www.kremlin.ru/catalog/persons/462/biography ; https://www.kremlin.ru/structure/state-council/presidium
prs_yarin,Андрей Ярин,person,аппаратный,,,,,текущий,соупоминания;аппаратный,Начальник Управления Президента по внутренней политике.,https://letters.kremlin.ru/news/47918 ; https://www.kremlin.ru/structure/administration/departments
prs_simonyan,Маргарита Симоньян,person,медийный,,,,,текущий,соупоминания;медийный,Главный редактор RT.,https://roscongress.org/speakers/simonyan-margarita/ ; https://roscongress.org/company/rt/
prs_krasnov_igor,Игорь Краснов,person,силовой,,,,,текущий,соупоминания;силовой,Актуализировано: с сентября 2025 года занимает должность Председателя Верховного Суда РФ.,https://vsrf.ru/about/structure/?section=supreme&subsection=219 ; https://council.gov.ru/events/news/169422/
prs_msg_1646d804dd,Пригожин Евгений,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_57d32a41ad,Кадыров Рамзан,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_c6fc806f88,Собянин Сергей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_43a5eabc73,Громов Алексей,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_03457b8fda,Патрушев Николай,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
prs_msg_4c62670a63,Миронов Дмитрий,person,смешанный,,,,,аналитический,соупоминания;смешанный,Персоналия добавлена как участник/объект упоминаний в сообщениях; текущая официальная роль не нормализована в этом слое.,file:///mnt/data/messages.html
